2018-08-24 14:49:15,609 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-08-24 14:50:26,587 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.fluke.connect:FlukeConnect:0.0.1-SNAPSHOT @ /Users/rtiwari/git/app/FlukeConnectTests/pom.xml.
2018-08-24 14:50:29,956 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FlukeConnect/src/main/java
2018-08-24 14:50:29,957 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /FlukeConnect/src/main/resources
2018-08-24 14:50:29,960 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FlukeConnect/src/test/java
2018-08-24 14:50:29,960 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /FlukeConnect/src/test/resources
2018-08-24 14:50:30,304 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 6 sec
2018-08-24 14:50:36,711 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 14:50:37,076 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-08-24 14:50:37,087 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 14:50:37,091 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 21 resources
2018-08-24 14:54:59,368 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 14:54:59,371 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-24 14:54:59,375 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 14:54:59,386 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 21 resources
2018-08-24 14:55:11,583 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 14:55:11,587 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
